ID_Cliente,Antiguedad_Meses,Cargo_Mensual,Porcentaje_Uso_Plan,Indice_Satisfaccion,Productos_Contratados,Llamadas_Soporte,Cargos_Extra,Abandono
CUST-0001,22,22.3,99.1,3.7,6,7.4,9.2,0
CUST-0002,4,104.4,14.8,9.4,5,10.8,46.8,1
CUST-0003,34,24.8,57.5,6.9,3,5.1,17.8,0
CUST-0004,71,29.0,32.7,6.4,3,10.4,40.6,1
CUST-0005,12,41.4,40.5,2.6,3,10.4,42.9,1
CUST-0006,65,103.9,25.5,5.5,5,8.7,11.3,0
CUST-0007,43,32.7,20.8,7.8,2,8.3,19.9,0
CUST-0008,65,80.2,42.5,7.9,2,9.2,38.4,0
CUST-0009,35,80.0,13.1,5.6,4,1.1,57.6,0
CUST-0010,33,16.7,95.0,8.2,3,11.4,54.7,1
CUST-0011,52,24.4,8.8,9.2,5,2.7,37.2,0
CUST-0012,10,24.1,90.9,4.3,5,6.3,45.0,0
CUST-0013,24,50.8,5.9,7.8,4,9.5,51.5,1
CUST-0014,39,113.8,54.1,6.5,6,6.4,4.3,0
CUST-0015,11,117.0,38.2,4.0,1,7.0,2.9,0
CUST-0016,1,47.2,59.7,2.6,4,5.0,17.2,0
CUST-0017,51,117.6,15.4,4.4,5,0.8,42.8,0
CUST-0018,35,24.5,73.2,2.9,3,6.8,36.6,0
CUST-0019,6,48.4,37.8,3.1,5,11.4,50.0,1
CUST-0020,23,114.1,75.7,5.3,4,10.4,21.8,0
CUST-0021,42,65.1,45.7,8.6,3,8.5,9.4,0
CUST-0022,4,101.5,93.0,4.5,1,3.5,18.1,0
CUST-0023,51,17.7,39.2,8.6,4,2.0,30.9,0
CUST-0024,21,73.3,35.7,1.7,2,5.2,55.0,1
CUST-0025,62,34.2,13.0,6.8,1,1.2,8.5,0
CUST-0026,32,56.3,13.8,5.1,2,1.0,45.1,1
CUST-0027,15,54.9,81.1,5.0,4,8.6,58.1,1
CUST-0028,44,76.7,81.2,3.6,5,9.6,42.8,0
CUST-0029,31,101.6,31.2,3.8,4,3.5,57.4,1
CUST-0030,25,113.8,75.9,3.2,5,5.6,23.2,0
CUST-0031,46,21.2,19.8,3.4,4,8.4,23.6,1
CUST-0032,33,54.6,28.9,9.6,3,9.9,20.8,0
CUST-0033,7,70.3,31.5,4.1,2,11.7,12.9,1
