Fecha,Mes,Temperatura,Humedad,Presion_Atmosferica,Velocidad_Viento,Nubosidad,Precipitacion,Lluvia
2023-01-01,1,11.4,76.6,997.5,4.8,77.7,24.9,1
2023-01-02,1,15.6,82.4,1010.3,18.8,77.3,21.3,1
2023-01-03,1,9.0,69.9,1019.5,18.5,59.6,4.3,1
2023-01-04,1,10.8,71.1,1008.0,19.7,83.7,10.1,1
2023-01-05,1,15.1,31.6,1026.7,9.2,27.6,0.0,0
2023-01-06,1,5.0,37.8,1019.4,8.5,42.7,0.0,0
2023-01-07,1,12.5,84.5,1003.0,27.8,75.5,15.7,1
2023-01-08,1,9.5,83.8,998.4,10.3,72.5,30.7,1
2023-01-09,1,15.1,89.4,998.5,11.1,53.1,28.6,1
2023-01-10,1,8.9,23.8,1017.8,13.6,30.5,0.8,0
2023-01-11,1,14.3,72.9,1007.7,16.8,21.3,1.8,0
2023-01-12,1,9.0,79.6,990.3,10.4,67.8,9.7,1
2023-01-13,1,9.7,50.0,1023.2,10.7,23.5,0.5,0
2023-01-14,1,7.1,29.7,1028.6,9.9,43.6,0.9,0
2023-01-15,1,19.8,75.1,998.9,16.7,72.2,0.1,1
2023-01-16,1,10.8,40.5,1023.9,7.3,0.0,1.2,0
2023-01-17,1,9.5,45.0,1013.8,4.7,38.7,0.0,0
2023-01-18,1,15.9,61.7,1026.2,10.0,33.3,0.0,0
2023-01-19,1,21.1,48.4,1033.4,13.7,36.3,0.0,0
2023-01-20,1,13.6,43.3,1020.4,7.4,53.0,1.2,0
2023-01-21,1,7.0,79.6,1007.4,26.5,82.3,6.0,1
2023-01-22,1,11.7,72.7,996.1,21.2,89.5,11.6,1
2023-01-23,1,14.1,81.9,1005.6,20.6,68.9,9.0,1
2023-01-24,1,10.0,38.7,1020.8,17.4,33.7,0.2,0
2023-01-25,1,12.5,51.2,1022.7,1.1,14.7,0.0,0
2023-01-26,1,12.7,50.0,1018.6,2.6,15.1,1.0,0
2023-01-27,1,13.8,44.5,1020.0,13.2,14.1,2.2,0
2023-01-28,1,8.0,80.7,990.1,22.9,75.0,30.1,1
2023-01-29,1,10.8,43.8,1032.2,5.7,50.3,0.0,0
2023-01-30,1,14.3,86.0,988.2,32.0,72.2,13.6,1
2023-01-31,1,11.3,65.9,1028.9,9.8,0.0,1.7,0
2023-02-01,2,13.5,73.5,992.2,15.0,87.9,9.9,1
2023-02-02,2,19.0,50.6,1022.8,9.5,35.3,0.0,0
2023-02-03,2,16.1,59.8,1024.1,7.6,30.7,1.0,0
2023-02-04,2,9.4,35.7,1024.3,8.7,14.2,0.0,0
2023-02-05,2,13.4,36.3,1015.3,17.6,24.0,0.0,0
2023-02-06,2,18.0,50.8,1021.3,13.8,35.8,0.5,0
2023-02-07,2,21.5,34.9,1025.5,3.3,24.0,0.9,0
2023-02-08,2,5.0,22.1,1016.8,17.0,57.6,0.6,0
2023-02-09,2,16.0,76.4,1003.5,27.4,84.9,18.3,1
2023-02-10,2,13.5,37.1,1031.2,4.6,28.5,1.7,0
2023-02-11,2,17.5,82.6,1000.9,13.9,92.2,12.3,1
2023-02-12,2,13.7,29.8,1031.2,2.7,35.9,0.5,0
2023-02-13,2,6.7,38.6,1014.6,20.0,34.7,0.9,0
2023-02-14,2,16.3,22.2,1029.7,15.2,32.8,1.2,0
2023-02-15,2,17.0,36.8,1032.6,0.0,49.5,2.4,0
2023-02-16,2,17.1,62.7,1018.1,12.7,74.2,4.8,1
2023-02-17,2,18.8,67.0,1016.0,8.0,76.1,8.3,1
